zip_code,zip_city,municipal_code,municipal_number
0964,OSLO,0301,OSLO
0968,OSLO,0301,OSLO
0969,OSLO,0301,OSLO
0970,OSLO,0301,OSLO
0971,OSLO,0301,OSLO
0972,OSLO,0301,OSLO
0973,OSLO,0301,OSLO
0975,OSLO,0301,OSLO
0976,OSLO,0301,OSLO
0977,OSLO,0301,OSLO
0978,OSLO,0301,OSLO
0979,OSLO,0301,OSLO
0980,OSLO,0301,OSLO
0981,OSLO,0301,OSLO
0982,OSLO,0301,OSLO
0983,OSLO,0301,OSLO
0984,OSLO,0301,OSLO
0985,OSLO,0301,OSLO
0986,OSLO,0301,OSLO
0987,OSLO,0301,OSLO
0988,OSLO,0301,OSLO
1001,OSLO,0301,OSLO
1003,OSLO,0301,OSLO
1005,OSLO,0301,OSLO
1006,OSLO,0301,OSLO
1007,OSLO,0301,OSLO
1008,OSLO,0301,OSLO
1009,OSLO,0301,OSLO
1011,OSLO,0301,OSLO
1051,OSLO,0301,OSLO
1052,OSLO,0301,OSLO
1053,OSLO,0301,OSLO
1054,OSLO,0301,OSLO
1055,OSLO,0301,OSLO
1056,OSLO,0301,OSLO
1061,OSLO,0301,OSLO
1062,OSLO,0301,OSLO
1063,OSLO,0301,OSLO
1064,OSLO,0301,OSLO
1065,OSLO,0301,OSLO
1067,OSLO,0301,OSLO
1068,OSLO,0301,OSLO
1069,OSLO,0301,OSLO
1071,OSLO,0301,OSLO
1081,OSLO,0301,OSLO
1083,OSLO,0301,OSLO
1084,OSLO,0301,OSLO
1086,OSLO,0301,OSLO
1087,OSLO,0301,OSLO
1088,OSLO,0301,OSLO
1089,OSLO,0301,OSLO
1101,OSLO,0301,OSLO
1102,OSLO,0301,OSLO
1108,OSLO,0301,OSLO
1109,OSLO,0301,OSLO
1112,OSLO,0301,OSLO
1150,OSLO,0301,OSLO
1151,OSLO,0301,OSLO
1152,OSLO,0301,OSLO
1153,OSLO,0301,OSLO
1154,OSLO,0301,OSLO
1155,OSLO,0301,OSLO
1156,OSLO,0301,OSLO
1157,OSLO,0301,OSLO
1158,OSLO,0301,OSLO
1160,OSLO,0301,OSLO
1161,OSLO,0301,OSLO
1162,OSLO,0301,OSLO
1163,OSLO,0301,OSLO
1164,OSLO,0301,OSLO
1165,OSLO,0301,OSLO
1166,OSLO,0301,OSLO
1167,OSLO,0301,OSLO
1168,OSLO,0301,OSLO
1169,OSLO,0301,OSLO
1170,OSLO,0301,OSLO
1172,OSLO,0301,OSLO
1176,OSLO,0301,OSLO
1177,OSLO,0301,OSLO
1178,OSLO,0301,OSLO
1179,OSLO,0301,OSLO
1181,OSLO,0301,OSLO
1182,OSLO,0301,OSLO
1184,OSLO,0301,OSLO
1185,OSLO,0301,OSLO
1187,OSLO,0301,OSLO
1188,OSLO,0301,OSLO
1189,OSLO,0301,OSLO
1201,OSLO,0301,OSLO
1203,OSLO,0301,OSLO
1204,OSLO,0301,OSLO
1205,OSLO,0301,OSLO
1207,OSLO,0301,OSLO
1214,OSLO,0301,OSLO
1215,OSLO,0301,OSLO
1250,OSLO,0301,OSLO
1251,OSLO,0301,OSLO
1252,OSLO,0301,OSLO
1253,OSLO,0301,OSLO
1254,OSLO,0301,OSLO
1255,OSLO,0301,OSLO
1256,OSLO,0301,OSLO
1257,OSLO,0301,OSLO
1258,OSLO,0301,OSLO
1259,OSLO,0301,OSLO
1262,OSLO,0301,OSLO
1263,OSLO,0301,OSLO
1266,OSLO,0301,OSLO
1270,OSLO,0301,OSLO
1271,OSLO,0301,OSLO
1272,OSLO,0301,OSLO
1273,OSLO,0301,OSLO
1274,OSLO,0301,OSLO
1275,OSLO,0301,OSLO
1278,OSLO,0301,OSLO
1279,OSLO,0301,OSLO
1281,OSLO,0301,OSLO
1283,OSLO,0301,OSLO
1284,OSLO,0301,OSLO
1285,OSLO,0301,OSLO
1286,OSLO,0301,OSLO
1290,OSLO,0301,OSLO
1291,OSLO,0301,OSLO
1294,OSLO,0301,OSLO
1295,OSLO,0301,OSLO
1300,SANDVIKA,3024,BÆRUM
1301,SANDVIKA,3024,BÆRUM
1302,SANDVIKA,3024,BÆRUM
1303,SANDVIKA,3024,BÆRUM
1304,SANDVIKA,3024,BÆRUM
1305,HASLUM,3024,BÆRUM
1306,SANDVIKA,3024,BÆRUM
1307,FORNEBU,3024,BÆRUM
1308,JAR,3024,BÆRUM
1309,RUD,3024,BÆRUM
1311,HØVIKODDEN,3024,BÆRUM
1312,SLEPENDEN,3024,BÆRUM
1313,VØYENENGA,3024,BÆRUM
1314,VØYENENGA,3024,BÆRUM
1316,EIKSMARKA,3024,BÆRUM
1317,BÆRUMS VERK,3024,BÆRUM
1318,BEKKESTUA,3024,BÆRUM
1319,BEKKESTUA,3024,BÆRUM
1321,STABEKK,3024,BÆRUM
1322,HØVIK,3024,BÆRUM
1323,HØVIK,3024,BÆRUM
1324,LYSAKER,3024,BÆRUM
1325,LYSAKER,3024,BÆRUM
1326,LYSAKER,3024,BÆRUM
1327,LYSAKER,3024,BÆRUM
1328,HØVIK,3024,BÆRUM
1329,LOMMEDALEN,3024,BÆRUM
1330,FORNEBU,3024,BÆRUM
1331,FORNEBU,3024,BÆRUM
1332,ØSTERÅS,3024,BÆRUM
1333,KOLSÅS,3024,BÆRUM
1334,RYKKINN,3024,BÆRUM
1335,SNARØYA,3024,BÆRUM
1336,SANDVIKA,3024,BÆRUM
1337,SANDVIKA,3024,BÆRUM
1338,SANDVIKA,3024,BÆRUM
1339,VØYENENGA,3024,BÆRUM
1340,SKUI,3024,BÆRUM
1341,SLEPENDEN,3024,BÆRUM
1342,GJETTUM,3024,BÆRUM
1344,HASLUM,3024,BÆRUM
1346,GJETTUM,3024,BÆRUM
1348,RYKKINN,3024,BÆRUM
1349,RYKKINN,3024,BÆRUM
1350,LOMMEDALEN,3024,BÆRUM
1351,RUD,3024,BÆRUM
1352,KOLSÅS,3024,BÆRUM
1353,BÆRUMS VERK,3024,BÆRUM
1354,BÆRUMS VERK,3024,BÆRUM
1356,BEKKESTUA,3024,BÆRUM
1357,BEKKESTUA,3024,BÆRUM
1358,JAR,3024,BÆRUM
1359,EIKSMARKA,3024,BÆRUM
1360,FORNEBU,3024,BÆRUM
1361,ØSTERÅS,3024,BÆRUM
1362,HOSLE,3024,BÆRUM
1363,HØVIK,3024,BÆRUM
1364,FORNEBU,3024,BÆRUM
1365,BLOMMENHOLM,3024,BÆRUM
1366,LYSAKER,3024,BÆRUM
1367,SNARØYA,3024,BÆRUM
1368,STABEKK,3024,BÆRUM
1369,STABEKK,3024,BÆRUM
1371,ASKER,3025,ASKER
